Title,rate,Year,certificate,genre,rate,story,director,votes count
Moss: Book II,164.,(2022 Video Game),E10+,"
Adventure            ",8.0,"
        Add a Plot
","
    Director:
Stephen Hodde
                 | 
    Star:
Morla Gorrondona
    ",15
Blacktail,165.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",7.4,"
Forge the legend of Baba Yaga, a girl accused of witchcraft and expelled from her home. Live out the origins of the Slavic myth in this one-of-a-kind blend of intense archery combat and dark storytelling set in a vibrant fairy tale world.","
    Director:
Bartosz Kapron
                 | 
    Stars:
Valerie Rose Lohman, 
Avalon Penrose, 
Adam Darski, 
Beau Marie
    ",14
Dislyte,166.,(2022 Video Game),,"
Action, Fantasy, Music            ",8.1,"
The Miracles blinked into existence across the world, after which their destructive Miramon streamed outwards to wreak havoc. Certain individuals somehow attuned to the sonic emanations ...                See full summary »
","
            
    Stars:
Daniel Amerman, 
Rex Anderson, 
Mar Andersons, 
Alejandro Arias
    ",14
Two Point Campus,167.,(2022 Video Game),,,7.1,"
Two Point Campus is an upcoming business simulation game developed by Two Point Studios and published by Sega. It is a successor to Two Point Hospital (2018) and tasks the player to build and manage a university campus.","
            
    Stars:
Dan Pye, 
Marc Silk, 
Jayne Webley
    ",14
MotoGP 22,168.,(2022 Video Game),,"
Sport            ",5.7,"
All the heroes of the 2022 season and more than 70 historical riders to enjoy the most complete racing experience. Feel all the thrills of the race with enhanced and extremely detailed ...                See full summary »
","
    Director:
Mark Neale
                 | 
    Star:
Mark Neale
    ",14
Star Trek Prodigy: Supernova,169.,(2022 Video Game),E10+,"
Sci-Fi            ",7.8,"
After the Protostar picks up strange readings from a dying star, Dal R'El and Gwyndala race against time to save their friends, their ship, new alien species and an entire planetary system before a supernova destroys them all!","
    Director:
Alex Cervantes
                 | 
    Stars:
Brett Gray, 
Ella Purnell, 
Kate Mulgrew, 
Angus Imrie
    ",13
Amanda the Adventurer,170.,(2022 Video Game),,"
Horror            ",8.6,"
Digging through your attic you find a box set of an old children's TV show, Amanda the Adventurer, starring a brave girl named Amanda and a cowardly sheep named Wooly. You don't recall any ...                See full summary »
","
            
    Stars:
Chelsea Lecompte, 
James Pratt
    ",13
"Warhammer 40,000: Chaos Gate - Daemonhunters",171.,(2022 Video Game),,"
Action, Sci-Fi            ",7.1,"
Lead humanity's greatest weapon, the Grey Knights, in this fast-paced turn-based tactical RPG. Root out and purge a galaxy-spanning plague in a cinematic, story-driven campaign.","
            
    Stars:
Robyn Addison, 
Brian Cook, 
Christopher Fairbank, 
Trent Martin
    ",12
First Date: Late to Date,172.,(2022 Video Game),,"
Romance            ",7.8,"
First Date: Late To Date is a romantic-comedy interactive cinematic (FMV) game in which the audience determines the progress of the movie with the options that appear every minute.","
    Director:
Ali Çelik
                 | 
    Stars:
Yusuf Kaan Çoban, 
Aysima Ateseduran, 
Bekir Baltaci, 
Ilay Senay
    ",12
The Closing Shift,173.,(2022 Video Game),,"
Adventure, Horror            ",8.2,"
The Closing Shift is a Japanese horror game about a young female barista on a closing shift.","
    ",12
The Centennial Case: A Shijima Story,174.,(2022 Video Game),T,"
Mystery            ",8.4,"
        Add a Plot
","
    Director:
Kôichirô Itô
                 | 
    Stars:
Momo Asakura, 
Yûta Hiraoka, 
Manao Kagawa, 
Yûki Kaji
    ",12
Citizen Sleeper,175.,(2022 Video Game),T,"
Sci-Fi            ",7.8,"
In Citizen Sleeper, the player character is a ""Sleeper,"" a human whose mind has been digitized and has been put into a robot body to be controlled by the Essen-Arp corporation. The player's...                See full summary »
","
    ",12
Pupperazzi,176.,(2022 Video Game),,,4.0,"
        Add a Plot
","
    Director:
Isobel Shasha
    ",12
River City Girls 2,177.,(2022 Video Game),E10+,"
Action, Comedy            ",8.5,"
        Add a Plot
","
    Directors:
Bannon Rudis, 
Matt Bozon
                 | 
    Stars:
Kayli Mills, 
Kira Buckland, 
Greg Chun, 
Kaiji Tang
    ",11
Nickelodeon Kart Racers 3: Slime Speedway,178.,(2022 Video Game),E,"
Family            ",6.9,"
The third game in the Kart Racers series! With new tracks and arenas, a big character roster, and lots of kart and motorcycle customization combinations, this fast paced action packed racing game is the biggest entry in the series yet!","
            
    Stars:
Tom Kenny, 
Bill Fagerbakke, 
Carolyn Lawrence, 
Rodger Bumpass
    ",11
ANNO: Mutationem,179.,(2022 Video Game),,"
Action            ",7.2,"
You become Ann: a highly-skilled combat-trained lone wolf on a personal mission in the giant Metropolis, full of sinister mega-corporations, mysterious fringe groups and creatures more bizarre than words can express.","
    Directors:
Hu JiangYang, 
Amber Lee Connors, 
Pingwen Zhang
                 | 
    Stars:
Samuel Drake, 
Lizzie Freeman, 
Kamran Nikhad, 
Arianna Ratner
    ",11
Half-Life: Field Intensity,180.,(2022 Video Game),M,"
Action, Sci-Fi, Thriller            ",6.8,"
Half-Life: Field Intensity is a mod for the original Half-Life (1998) that has been in the works for 13 years. You play as HECU soldier Stefan Oldfield who was sent to the Black Mesa ...                See full summary »
","
    Director:
Roman Chistokhodov
                 | 
    Stars:
Richter Overtime, 
Ronald Hamrák, 
Brice Armstrong, 
Robert Guillaume
    ",11
Moonscars,181.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",6.5,"
Under grim moonlight, the fierce clayborne warrior Grey Irma battles, driven by a lonesome purpose: Find the Sculptor, and unravel the mystery of her existence.","
    ",11
Kirby's Dream Buffet,182.,(2022 Video Game),E,"
Action, Adventure, Family            ",7.0,"
Have a feast of fun with family and friends in Kirby's Dream Buffet(TM) for the Nintendo Switch family of systems.","
    Director:
Shinya Kumazaki
                 | 
    Star:
Makiko Ômoto
    ",11
Ghostwire: Tokyo - Prelude,183.,(2022 Video Game),,"
Fantasy, Mystery            ",3.9,"
Join KK and his gang of supernatural detectives as they investigate a strange disappearance, only to stumble upon something more sinister. Build relationships with your team and piece together their stories.","
    Director:
Alexei Bochenek
    ",11
Infernax,184.,(2022 Video Game),M,"
Action, Adventure, Fantasy            ",7.4,"
Infernax is the adventures of a great knight who returns to his homeland only to find it plagued with unholy magic, Uncover the mysteries of the curse and face the consequences of your actions.","
    ",11
Angry Birds Journey,185.,(2022 Video Game),E,"
Action, Adventure, Family            ",3.6,"
Join the Angry Birds on a magical Slingshot Adventure to recover the Egg Wonders.","
    ",11
Sucker for Love,186.,(2022 Video Game),,"
Comedy, Horror, Romance            ",8.3,"
        Add a Plot
","
    Director:
Akabaka
                 | 
    Stars:
Autumn Ivy, 
Michaela Laws, 
Kayli Mills, 
Lani Minella
    ",10
Freedom Planet 2,187.,(2022 Video Game),,"
Animation, Action, Adventure            ",7.9,"
Merga, a water dragon from Avalice's oldest and deadliest war, has been freed from her crystal prison as a consequence of the Kingdom Stone's destruction. War is imminent once again, but this time, the heroes are split between sides.","
    Director:
Sabrina DiDuro
                 | 
    Stars:
Morgan Berry, 
Dawn M. Bennett, 
Andi Sina, 
Aimee Smith
    ",10
Warped Kart Racers,188.,(2022 Video Game),,"
Sport            ",7.5,"
Get warped into the ultimate kart racing game featuring the stars of 20th Television's hit animated shows: American Dad!, Family Guy, King of the Hill and Solar Opposites.","
    Director:
Nicholas Lovell
                 | 
    Star:
Johnny Hardwick
    ",10
Just Dance 2023 Edition,189.,(2022 Video Game),E,"
Family, Music            ",8.2,"
        Add a Plot
","
    ",10
Camp Buddy: Scoutmaster Season,190.,(2022 Video Game),,"
Romance            ",8.4,"
        Add a Plot
","
            
    Stars:
Kiba Walker, 
Sean Chiplock, 
Ian Pabito, 
Lasli Tran
    ",10
Ikai,191.,(2022 Video Game),,"
Horror            ",6.5,"
Fear and anxiety prevail after the darkest tales from Japanese folklore come to life in this first-person psychological horror game. Set in a feudal era, Ikai revolves around the priestess ...                See full summary »
","
            
    Stars:
Vanille Velasquez, 
Alice Himora, 
Hussein Mohammed
    ",10
Cultic,192.,(2022 Video Game),,"
Action            ",8.1,"
Death is only the beginning. Crawl from your grave and gear up to fight your way through the ranks of a mysterious and twisted cult. You will have to shoot to survive in this old-school-inspired shooter.","
    Director:
Jason Smith
    ",10
My Time at Sandrock,193.,(2022 Video Game),,"
Adventure            ",8.1,"
Start a new life in the enchanting town of Sandrock. Restore the town to its former glory, grow crops, raise animals, befriend the towns quirky inhabitants and uncover the mysteries this charming desert land has forgotten.","
    Director:
Zhi Xu
                 | 
    Stars:
Maddi Albregts, 
T.J. Anthony, 
Jerron Bacat, 
Jonathan David Bullock
    ",9
Asterigos: Curse of the Stars,194.,(2022 Video Game),T,"
Adventure, Fantasy            ",7.4,"
Welcome to Aphes - a city-state full of magic and wonder inspired by ancient Rome and classical Greek designs. From the mist-covered bazaar streets to gloomy sewers, the enigmatic forests ...                See full summary »
","
    Directors:
Michael Csurics, 
Cheng Hsien Lin
                 | 
    Stars:
Christie Cate, 
Tom Fry, 
Dawn M. Bennett, 
Chris Hackney
    ",9
Football Manager 2023,195.,(2022 Video Game),E,"
Sport            ",6.8,"
        Add a Plot
","
    ",9
Salt and Sacrifice,196.,(2022 Video Game),,"
Action            ",8.5,"
A once-peaceful kingdom is plunged into chaos by encroaching tides of Mages: merciless embodiment of elemental chaos.","
    Director:
James Silva
    ",9
You Suck at Parking,197.,(2022 Video Game),E,"
Animation, Comedy            ",6.2,"
You Suck at Parking is the only racing game where the goal is to stop (eventually). Drive, drift and park in this simple and accessible yet challenging game where parking is more important than your driving skills.","
    ",9
"Warhammer 40,000: Shootas, Blood & Teef",198.,(2022 Video Game),,"
Action            ",6.9,"
        Add a Plot
","
    ",9
Harvestella,199.,(2022 Video Game),,"
Adventure            ",7.7,"
        Add a Plot
","
    Director:
Hiroto Furuya
                 | 
    Stars:
Chiaki Kobayashi, 
Sayaka Senbongi, 
Rika Tachibana, 
Kengo Kawanishi
    ",8
Stay Out of the House,200.,(2022 Video Game),M,"
Horror            ",7.4,"
A young victim is kidnapped and trapped inside a large farmhouse owned by a psychopath. She must now survive and escape the house.","
    Director:
Benedetto Cocuzza
                 | 
    Stars:
Autumn Ivy, 
Suzi Hunter, 
Reece Bridger, 
Victoria Capone
    ",8
We Are OFK,201.,(2022 Video Game),Not Rated,"
Biography            ",6.9,"
From indie pop band OFK comes the story of how four friends came together to release their debut EP. An interactive making-of-the-band series about dreaming, dating, and paying rent in Los Angeles.","
    Director:
Teddy Dief
                 | 
    Stars:
Ally Maki, 
Syhaya Aviel, 
Fiona Rene, 
Teddy Dief
    ",8
Starship Troopers: Terran Command,202.,(2022 Video Game),,"
Adventure            ",8.2,"
The population of the harsh desert planet Kwalasha needs our help. Their daily lives of hard work in the mining industries have been disturbed by a new danger that they cannot face alone: ...                See full summary »
","
            
    Stars:
Alan Adelberg, 
Eli Harris, 
Melissa Medina, 
Marquiz Moore
    ",8
"Haiku, the Robot",203.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",7.9,"
Delve into the depths of a mechanical world in this cute, adventure-exploration game. Explore and fight in a land full of corrupt robots and machinery. All while seeking answers to the mysteries around you.","
    Director:
Jordan Morris
    ",8
Rovio Classics: Angry Birds,204.,(2022 Video Game),E,"
Action            ",7.4,"
Rebuilt from the ground up, Rovio Classics: Angry Birds brings the classic Angry Birds experience to modern mobile devices. Pull back the slingshot, let the birds fly, and relish in the delightful destruction.","
    Director:
Timmothy Coolidge
                 | 
    Star:
A.M. Driver
    ",8
Error 143,205.,(2022 Video Game),,"
Romance            ",8.5,"
This visual novel features Micah Yujin. You - the main character - hack Micah Yujin at the beginning of the game after losing to him in a ""Capture the Flag"" hacking tournament and leave him a message claiming to be the better hacker.","
    Director:
Jenny Vi Pham
                 | 
    Star:
Corey Wilder
    ",7
T3 Arena,206.,(2022 Video Game),,"
Action            ",7.4,"
        Add a Plot
","
            
    Stars:
Aislinn DeButch, 
Merk Nguyen
    ",7
Disney Mirrorverse,207.,(2022 Video Game),,"
Fantasy            ",8.4,"
        Add a Plot
","
    ",7
Sonic the Hedgehog 2 Absolute,208.,(2022 Video Game),,"
Action, Adventure, Family            ",8.2,"
Sonic the Hedgehog 2 Absolute is a PC fan-remake of the original Sonic the Hedgehog 2, It provides many enhancements over the original game, such as widescreen support, 60FPS at all-times, mod support, and other additions.","
    ",7
Chinatown Detective Agency,209.,(2022 Video Game),T,"
Adventure, Crime, Mystery            ",6.8,"
Play as Amira Darma, an ex-cop who has just opened her own detective agency. Choose your clients, travel around the world and solve dangerous cases using real world research.","
    Director:
Mark Fillon
                 | 
    Stars:
Steven Bones, 
Rishi Budhrani, 
Su Ling Chan, 
Mark Fillon
    ",7
Dragon Ball: The Breakers,210.,(2022 Video Game),,"
Action            ",7.1,"
        Add a Plot
","
            
    Stars:
Dameon Clarke, 
Terri Doty, 
Josh Martin, 
Daman Mills
    ",7
Best Month Ever!,211.,(2022 Video Game),,"
Adventure            ",7.9,"
The story is told by a young Black man named Mitch, and is a flashback to his childhood in the United States in 1969, when he was eight years old. Mitch lived with his struggling white ...                See full summary »
","
    Director:
Filip Hillesland
                 | 
    Stars:
Maurice Whitfield, 
Joseph Culp, 
Jodie Baltazar, 
Katie Bak
    ",7
BROK the InvestiGator,212.,(2022 Video Game),,"
Action, Adventure, Mystery            ",8.0,"
In a futuristic dystopian world where animals have replaced humans, privileged citizens live under a dome. Will Brok, private detective and former boxer, be able to withstand the threats of this corrupted world?","
    Director:
Fabrice Breton
                 | 
    Stars:
Bryan J. Olson, 
Michael Kovach, 
Lee Foster, 
Daisy Guevara
    ",7
"Love, Money, Rock 'n' Roll.",213.,(2022 Video Game),,"
Animation, Romance            ",6.6,"
        Add a Plot
","
    Director:
Dreamtale
    ",7
PowerSlave Exhumed,214.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",8.6,"
PowerSlave: Exhumed is a KEX Engine port of the classic console game perfectly blending both the PlayStation and Saturn versions.","
    ",7
Have a Nice Death,215.,(2022 Video Game),,"
Action, Adventure, Comedy            ",8.0,"
Have a Nice Death is a 2D action roguelike where you play as an overworked Death, whose employees have run rampant, In order to restore order, you'll have to grab your trusty scythe and show your employees who's boss.","
            
    Stars:
Morgan Dufour, 
Marion Trintignant
    ",7
Hooked on You: A Dead by Daylight Dating Sim,216.,(2022 Video Game),,"
Romance            ",6.3,"
Welcome to Murderer's Island. Your companions: four dead-sexy Killers who, underneath their murderous exteriors, just want a little romance. Flirt your way into their hearts, uncovering dark twists along the way.","
    Director:
Alexei Bochenek
    ",7
Eiyuden Chronicle: Rising,217.,(2022 Video Game),E10+,"
Action            ",7.5,"
        Add a Plot
","
    ",7
No T!me No Space,218.,(2022 Video Game),,"
Sci-Fi            ",8.6,"
Capture the dark antimatter particles to unlock secret portals into different dimensions. A 3D FPS responsive ZEN shooter for Smartphone, Tablet, Laptop and PC. Running on Windows, Mac, Linux, Android and iOS. Let's play.","
    Directors:
Sara Ferro, 
Chris Weil
    ",7
Sonic Triple Trouble 16-Bit,219.,(2022 Video Game),E,"
Action, Adventure, Fantasy            ",8.2,"
Sonic Triple Trouble 16-Bit is a fangame re-imagining of the Game Gear game Sonic Triple Trouble in the style of the Genesis Sonic classics.","
    Director:
Noah N. Copeland
    ",6
Michaelsoft Binbows '97,220.,(2022 Video Game),,"
Comedy, Horror            ",8.5,"
You explore a computer previously owned by someone named Dan that is using the operating system named Michaelsoft Binbows '97 and find out there are some strange things going on.","
    Director:
Anthony V
                 | 
    Star:
Anthony V
    ",6
Destroy All Humans! Clone Carnage,221.,(2022 Video Game),T,"
Action, Adventure, Sci-Fi            ",5.3,"
Wreak havoc in Clone Carnage. Comes with 4 modes, 6 maps, and up to 4-player multiplayer. Split-screen lets you double the damage in local 2-player multiplayer. Unleash your wild side in Rampage, Armageddon, Race, and Abduction modes.","
    ",6
SCP: Secret Files,222.,(2022 Video Game),,"
Adventure            ",8.0,"
        Add a Plot
","
    Director:
Zhaoxu Ji
                 | 
    Stars:
Christopher Boidy, 
Rita Chen, 
Amy Daml, 
Kei Gambit
    ",6
Paw Patrol: Grand Prix,223.,(2022 Video Game),,"
Action            ",4.0,"
        Add a Plot
","
    Director:
Fabian Letelier
                 | 
    Stars:
René Pinochet, 
Pabla Herman, 
Consuelo Pizarro, 
Brian Ramirez Perez
    ",6
Coromon,224.,(2022 Video Game),E,"
Action, Adventure, Comedy            ",8.7,"
Coromon is a modern take on the classic monster-taming genre, Tame Coromon and explore a vast world filled with thrilling turn-based battles, brain-twisting puzzles, and a mysterious threat to the world awaiting defeat.","
    Directors:
Maarten van Aken, 
Jochem Pouwels, 
Marcel van der Made
                 | 
    Star:
Trevor McAleese
    ",6
Soulstice,225.,(2022 Video Game),,"
Adventure            ",5.8,"
Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age dark fantasy story with fast-paced action, vicious enemies, and spectacular boss fights.","
    Director:
Fabio Pagetti
                 | 
    Stars:
Stefanie Joosten, 
Andi Gibson, 
Lindsay Sheppard, 
Daniel Pierce
    ",5
My Little Pony: A Maretime Bay Adventure,226.,(2022 Video Game),E,"
Adventure, Comedy, Family            ",6.4,"
A forgotten celebration of friendship and magic. But some pony is out to spoil the celebration and they're stealing cakes, letting bunnies loose, and even spoiling Pipp's paintings.","
            
    Stars:
Jenna Warren, 
J.J. Gerber, 
Ana Sani, 
Abby Trott
    ",5
Chocobo GP,227.,(2022 Video Game),E10+,"
Action            ",7.6,"
        Add a Plot
","
    Director:
Akihiko Maeda
                 | 
    Stars:
Laura Post, 
Cristina Valenzuela, 
Keith Szarabajka, 
Stephen Fu
    ",5
The Apocalypse,228.,(2022 Video Game),,"
Adventure, Horror            ",8.8,"
The crew of the XSS Ecclesiastes have morphed into horrifying monsters. With only the ship's AI for guidance, you must survive by scavenging for supplies, overcoming obstacles and fleeing ...                See full summary »
","
    Director:
Aaron Hutton
                 | 
    Stars:
Adrian Brunone, 
Ronald Hamrák, 
Nathan Dowen, 
Andrew Murray
    ",5
Edengate: The Edge of Life,229.,(2022 Video Game),T,"
Mystery            ",5.6,"
Mia Lorenson wakes up in a hospital and tries to solve a mystery.","
            
    Stars:
Ellie Heydon, 
Eric Meyers, 
Alexandra Metaxa, 
Jared Zeus
    ",5
Unusual Findings,230.,(2022 Video Game),,"
Adventure            ",7.4,"
        Add a Plot
","
            
    Stars:
Zack Maher, 
Kim Morton, 
Jordan Hellier, 
Marlon Dunn
    ",5
Monark,231.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",6.0,"
Who will stand by you in the face of madness? Be sure to keep your allies close as you traverse between the real world and the warped reaches of the Otherworld.","
    ",5
Islets,232.,(2022 Video Game),E10+,"
Action, Adventure, Comedy            ",7.4,"
Take to the sky and reunite a fragmented world in this surprisingly wholesome, beautifully hand-painted metroidvania.","
    Director:
Kyle Thompson
    ",5
Vox Machinae,233.,(2022 Video Game),,"
Sci-Fi            ",,"
        Add a Plot
","
            
    Stars:
Taher Chy, 
Aria DeMaris, 
Francesca Hogan, 
Sunny Patel
    ",
Evidence 111,234.,(2022 Video Game),Not Rated,"
Crime, Mystery            ",,"
September 13, 1985, a small town of Farnham, England. Just like every Friday, Chief inspector Alice Wells is on duty. An ordinary night shift is suddenly interrupted by a mysterious phone ...                See full summary »
","
            
    Stars:
Zoë Robins, 
Rosamund Pike, 
Kenny Blyth, 
Mike Bodie
    ",
Mortal Kombat: Onslaught,235.,(2022 Video Game),,"
Action, Fantasy            ",,"
        Add a Plot
","
    Director:
Dominic Cianciolo
                 | 
    Stars:
Ike Amadi, 
Steve Blum, 
Andrew Bowen, 
Robin Atkin Downes
    ",
Ghosts,236.,(2022 Video Game),,"
Horror            ",,"
Source: GHOST TRAIN - ""Haunted Britain"" October 1989.","
    Director:
Jed Shepherd
                 | 
    Stars:
Yinka Awoni, 
Sarah Bendrey, 
Haley Bishop, 
Radina Drandova
    ",
Puyo Puyo: The Movie,237.,(2022 Video Game),,"
Animation, Action, Adventure            ",,"
Don't know what this is about? Be the first to know.","
    Directors:
David Bowers, 
Sean Charmatz
    ",
Stay Alive My Son,238.,(2022 Video Game),,"
Short, Adventure, Biography            ",,"
Transpiring over 45 years and based on the internationally acclaimed memoirs of Pin Yathay, ""Tu Vivrais, Mon Fils"" (""Stay Alive, My Son""), this epic, immersive, and mythical cinematic ...                See full summary »
","
    Director:
Victoria Bousis
                 | 
    Stars:
Arnold Chun, 
Kostas Filippoglou, 
Vincent Rodriguez III, 
Abraham Sigler
    ",
Deadly Night,239.,(2022 Video Game),,"
Horror            ",,"
Carol is down on her luck, hitchhiking across the country. She arrives at a small roadside motel but there's something strange about the owner. As the secrets unravel, she finds herself ...                See full summary »
","
            
    Stars:
Matthew Charles, 
Sarah Elizabet, 
Hannah Jean, 
Josei Kage
    ",
The Callisto,240.,(2022 Video Game),,"
Adventure, Mystery            ",,"
At a luxury hotel on Jupiter's second-largest moon, a political figure was murdered along with three others. An investigator is called on to collect evidence, interview witnesses, analyze clues, and explore the secrets of the Callisto.","
            
    Stars:
Sherman Christensen, 
John Kearney, 
John McPhee, 
Beth Metcalf
    ",
RWBY: Arrowfell,241.,(2022 Video Game),,,,"
Dive into an explosive new RWBY action-adventure. Instantly switch between all four members of Team RWBY - Ruby Rose, Weiss Schnee, Blake Belladonna, and Yang Xiao Long - and use their ...                See full summary »
","
            
    Stars:
AmaLee, 
Dawn M. Bennett, 
Clifford Chapin, 
Barbara Dunkelman
    ",
Monster Prom 3: Monster Roadtrip,242.,(2022 Video Game),,"
Comedy, Romance            ",,"
        Add a Plot
","
            
    Stars:
Christine Marie Cabanos, 
SungWon Cho, 
Alexander Gross, 
Arin Hanson
    ",
Dragon Quest Treasures,243.,(2022 Video Game),E10+,"
Action, Fantasy            ",,"
        Add a Plot
","
    Directors:
Kana Inagaki, 
Yuji Horii
                 | 
    Stars:
Motoko Kumai, 
Inori Minase, 
Satomi Arai, 
Yasuhiro Takato
    ",
Omega Strikers,244.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
            
    Stars:
Allegra Clark, 
Robbie Daymond, 
Arin Hanson, 
Rachelle Heger
    ",
Crimson Snow,245.,(2022 Video Game),,"
Horror            ",,"
Christmas is a joyful time, but this time something dark is hiding behind the holiday decorations. Your actions will determine whether you and your girlfriend survive Christmas night.","
            
    Stars:
Jenny Glynn, 
Olivia Steele
    ",
Seven Knights 2,246.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Directors:
Cho Sungu, 
Christopher Bevins, 
Cristina Valenzuela
                 | 
    Stars:
Tomokazu Seki, 
Satomi Arai, 
Shin'ichirô Miki, 
Kentarô Itô
    ",
Corpse Factory,247.,(2022 Video Game),,"
Horror            ",,"
An obscure website allows users to request a death. Victims supposedly receive a photograph of their own corpse before they are killed.","
            
    Stars:
Erika Harlacher, 
Aleks Le, 
Faye Mata, 
Brianna Knickerbocker
    ",
Final Space: The Rescue,248.,(2022 Video Game),T,"
Sci-Fi            ",,"
The Final Space universe has expanded to VR. Join Gary, Avocato, Nightfall, and Tribore as they embark on a brand new journey to rescue their dear friend from the clutches of a new, but familiar, threat.","
            
    Stars:
Tika Sumpter, 
Tom Kenny
    ",
Neptunia: Sisters VS Sisters,249.,(2022 Video Game),,"
Animation, Action, Sci-Fi            ",,"
        Add a Plot
","
            
    Stars:
Kana Asumi, 
Christine Marie Cabanos, 
Melissa Fahn, 
Yui Horie
    ",
Nickelodeon Extreme Tennis,250.,(2022 Video Game),E10+,"
Sport            ",,"
        Add a Plot
","
            
    Stars:
Carlos Alazraqui, 
Lacey Chabert, 
Cheryl Chase, 
Greg Cipes
    ",
Relayer,251.,(2022 Video Game),,"
Action            ",,"
The discovery of an ancient alien civilization sets the wheels of fate in motion for the Starchildren, humans bestowed with unique powers.","
    Director:
Yoshimi Yasuda
                 | 
    Stars:
Satomi Akesaka, 
Miku Itou, 
Moe Toyota, 
Mie Sonozaki
    ",
Cosmonious High,252.,(2022 Video Game),E10+,"
Adventure            ",,"
        Add a Plot
","
    Directors:
Gillian Brashear, 
Randall Ryan
                 | 
    Stars:
Zeke Alton, 
Jeffrey Cannata, 
Dave Fennoy, 
Brandi Hollsten
    ",
Bratz: Flaunt Your Fashion,253.,(2022 Video Game),E,"
History            ",,"
        Add a Plot
","
    Directors:
Dani del Armor, 
Brenna Larsen
                 | 
    Stars:
Olivia Hack, 
Ratana, 
Julyza Commodore, 
Valeria Rodriguez
    ",
Hello Puppets: Midnight Show,254.,(2022 Video Game),,,,"
""Hello Puppets: Midnight Show"" is a stealth horror adventure set in the 1980s on the set of a children's TV show. You are a master puppet maker whose prized creations--the Handeemen--have ...                See full summary »
","
    Director:
Robyn Tong Gray
                 | 
    Stars:
Mark Holcomb, 
D.C. Douglas, 
Kelly Pruner, 
Emme Montgomery
    ",
Path to Nowhere,255.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
            
    Stars:
Christina Costello, 
D.C. Douglas, 
Natalie Hitzel, 
Brianna Knickerbocker
    ",
Selaco,256.,(2022 Video Game),,"
Action, Sci-Fi            ",,"
Selaco was a miracle for the refugees of Earth. A beacon of hope in their darkest hour. Dawn lost everything when Earth fell and dedicated her life to protecting her new home. Hope burned bright, but something lurked in the shadows.","
    Director:
Wesley de Waart
                 | 
    Stars:
Melissa Medina, 
Gianni Matragrano, 
Luis Bermudez, 
Erica Muse
    ",
Secret Pie Festival,257.,(2022 Video Game),,"
Adventure, Romance            ",,"
Secret Pie First DLC Festival~","
    ",
Beyond the Edge of Owlsgard,258.,(2022 Video Game),,"
Adventure, Comedy            ",,"
Follow the adventures of Finn the Roebuck and Gwen the Owl as they journey to the island of Owlsgard to save a peaceful world from being annihilated by machines, all the while facing off ...                See full summary »
","
    Director:
Hans Klöpfel
                 | 
    Stars:
Michael Kovach, 
Chloe Eves, 
Mike Ciporkin, 
Jonathan David Bullock
    ",
Area Man Lives,259.,(2022 Video Game),,"
Adventure, Comedy            ",,"
        Add a Plot
","
    Directors:
Amy Green, 
Ryan Green
                 | 
    Stars:
Ronan Farrow, 
Max Greenfield, 
Linda Joy, 
Joel McHale
    ",
Gunvolt Chronicles: Luminous Avenger iX 2,260.,(2022 Video Game),T,"
Action, Adventure, Sci-Fi            ",,"
Copen, Lola, and Kohaku are transported to a desert world and searching for a way home. Null, a mechanical worker girl, tells them of an ancient secret in a place called, ""The Grave Pillar"" that may help. Their Story begins there.","
    Director:
Diana Garnet
                 | 
    Stars:
Kira Buckland, 
Connor Colquhoun, 
Brittany Cox, 
Aver Hamilton II
    ",
Black Desert: Eternal Winter,261.,(2022 Video Game),,"
Animation, Action, Adventure            ",,"
        Add a Plot
","
    Director:
Christopher Bevins
                 | 
    Stars:
Paolo Andino, 
Dino Andrade, 
Mark Atherlay, 
Ryan Bartley
    ",
Voodoo Detective,262.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Directors:
Eric Ackerman, 
Eric Fulton
                 | 
    Stars:
William Christopher Stephens, 
Tom Bromhead, 
Keythe Farley, 
Monique Daniels
    ",
King Arthur: Knight's Tale,263.,(2022 Video Game),,,,"
        Add a Plot
","
            
    Stars:
Troy Allan, 
Emeri Chase, 
Mike Ciporkin, 
Krystle Futrell
    ",
StarFlint,264.,(2022 Video Game),,"
Adventure            ",,"
Take a young smuggler, Flint, throw him in space amid alien critters (disgusting!), bad guys (awful!), curvy creatures (yeah baby!) and you get one of the few video game adventures where the future is played with a laugh.","
            
    Stars:
David Chabant, 
Andrew Chan, 
Quentin D., 
Benjamin Daniel
    ",
Ninja Must Die,265.,(2022 Video Game),,"
Action, Adventure            ",,"
300 years ago, the Oni from the Oni Domain opened up the Rasho Gate, and invaded the land. The Oni King led the Oni to wreak havoc on the people of the land. The land cracked and its people...                See full summary »
","
            
    Stars:
Stephen Fu, 
Xanthe Huynh, 
Yuuki Luna, 
Yoshitsugu Matsuoka
    ",
